Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Eval Days,Max Drawdown,Note,C-Index Type,Quantile,Model,Threshold Value,Baseline Trade Count,Delta Trade Count
33,0.33929336173193475,72.72727272727273,0.2761555455403833,1.7056218947437638,38.146788990825684,218,-4.118556573770782,,C_RBO_full,0.5,gbm,0.4452730503512067,62,-29
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_Mallows_full,0.2,gbm,0.6065306597126334,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_Mallows_full,0.3,gbm,0.6065306597126334,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_Mallows_full,0.4,gbm,0.6065306597126334,62,0
62,0.2749938329545316,59.67741935483871,0.15824124290325664,1.3396382948252568,71.6697247706422,218,-6.375406720451338,,C_Mallows_full,0.5,gbm,0.6065306597126334,62,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_full,0.2,mlp,0.0,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_full,0.3,mlp,0.0,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_full,0.4,mlp,0.0,88,0
41,0.20636538282534644,60.97560975609756,0.16637578739961975,1.1453918163037844,47.39449541284404,218,-7.2008869418285215,,C_tau_full,0.5,mlp,0.028571428571428574,88,-47
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties3,0.2,mlp,0.0,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties3,0.3,mlp,0.0,88,0
52,0.2526498990689514,57.692307692307686,0.14061066800659092,1.0901643274833006,60.11009174311926,218,-7.120978475752704,,C_tau_ties3,0.4,mlp,0.10256410256410256,88,-36
45,0.20105276721127138,55.55555555555556,0.10612502163469757,0.7654134196819923,52.01834862385321,218,-6.46149391140014,,C_tau_ties3,0.5,mlp,0.15384615384615383,88,-43
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties5,0.2,mlp,0.0,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties5,0.3,mlp,0.0,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties5,0.4,mlp,0.0,88,0
43,0.05620706500243351,58.139534883720934,0.046900641758142014,0.33066256989482373,49.70642201834862,218,-8.558587589423627,,C_tau_ties5,0.5,mlp,0.1333333333333333,88,-45
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties10,0.2,mlp,0.0,88,0
88,0.2312191386155904,59.09090909090909,0.14363737936124893,1.4487079139114079,101.72477064220183,218,-6.5941148256191795,,C_tau_ties10,0.3,mlp,0.0,88,0
48,0.27336271251548105,58.333333333333336,0.14484314747580085,1.0789233591149043,55.486238532110086,218,-6.5941148256191795,,C_tau_ties10,0.4,mlp,0.04210526315789474,88,-40
39,0.27604869081868166,58.97435897435898,0.1374895159394255,0.9231534775777657,45.08256880733945,218,-6.5941148256191795,,C_tau_ties10,0.5,mlp,0.08421052631578949,88,-49
65,0.23854246219367808,58.46153846153847,0.13945056736753283,1.2087847922127617,75.13761467889908,218,-7.120978475752704,,C_RBO_full,0.2,mlp,0.36382047166024145,88,-23
56,0.3281932355785983,62.5,0.18706160829690507,1.505049213213157,64.73394495412843,218,-6.46149391140014,,C_RBO_full,0.3,mlp,0.38465683370083537,88,-32
47,0.3044672296765237,59.57446808510638,0.15988594011056387,1.17850445185008,54.330275229357795,218,-6.46149391140014,,C_RBO_full,0.4,mlp,0.4170343889617904,88,-41
