Model,Asset,C-Index Type,Quantile,Trade Count,Avg Return,Win Rate,Sharpe,Sharpe_annualized,Annual Trades,Max Drawdown,Note
gbm,TLT,C_tau_ties10,0.5,8,0.4688950440176587,75.0,0.6225660966757908,2.795314841258391,20.16,-0.7975142347922848,
gbm,TLT,C_tau_ties3,0.2,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_ties3,0.3,13,0.6407344081640103,76.92307692307693,0.7571768798806802,4.333804248748504,32.760000000000005,-0.7975142347922848,
gbm,TLT,C_tau_ties3,0.4,13,0.6407344081640103,76.92307692307693,0.7571768798806802,4.333804248748504,32.760000000000005,-0.7975142347922848,
gbm,TLT,C_tau_ties3,0.5,11,0.5411079230943922,72.72727272727273,0.6230782245291673,3.2804935384817733,27.720000000000002,-0.7975142347922848,
gbm,TLT,C_tau_ties5,0.2,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
gbm,TLT,C_tau_ties5,0.3,13,0.6407344081640103,76.92307692307693,0.7571768798806802,4.333804248748504,32.760000000000005,-0.7975142347922848,
gbm,TLT,C_tau_ties5,0.4,13,0.6407344081640103,76.92307692307693,0.7571768798806802,4.333804248748504,32.760000000000005,-0.7975142347922848,
gbm,TLT,C_tau_ties5,0.5,12,0.5576675689842103,75.0,0.6746254126321402,3.70982642295312,30.240000000000002,-0.7975142347922848,
gbm,TLT,No Filter,,15,0.4643931575736638,66.66666666666666,0.5092086694544526,3.1307016992997427,37.800000000000004,-0.7975142347922848,
mlp,GLD,C_Mallows_full,0.2,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_Mallows_full,0.3,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_Mallows_full,0.4,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_Mallows_full,0.5,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_RBO_full,0.2,22,0.2665039983487388,68.18181818181817,0.18449986361460427,1.3737498571122373,55.440000000000005,-4.088185543197653,
mlp,GLD,C_RBO_full,0.3,16,0.37927482677542756,75.0,0.29250561818362686,1.8573530947274144,40.32,-3.310977520325231,
mlp,GLD,C_RBO_full,0.4,12,0.5420611539313835,83.33333333333334,0.4420751862391641,2.4310116045632038,30.240000000000002,-2.823439606845568,
mlp,GLD,C_RBO_full,0.5,10,0.4221149847085303,80.0,0.3241209161388212,1.6270740857817303,25.200000000000003,-2.823439606845568,
mlp,GLD,C_tau_full,0.2,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_tau_full,0.3,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_tau_full,0.4,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_tau_full,0.5,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_tau_ties10,0.2,23,0.3232648220274586,69.56521739130434,0.22491578982525864,1.712316863561545,57.96,-4.088185543197653,
mlp,GLD,C_tau_ties10,0.3,19,0.1560732388613037,68.42105263157895,0.10953704866920892,0.757945722127892,47.88,-6.687581895874484,
mlp,GLD,C_tau_ties10,0.4,18,0.281361010485807,72.22222222222221,0.20777150268445008,1.39933760000471,45.36,-4.5884752454947275,
mlp,GLD,C_tau_ties10,0.5,13,0.17163527358045133,69.23076923076923,0.11897620223856499,0.6809763801064663,32.760000000000005,-6.260420298957836,
mlp,GLD,C_tau_ties3,0.2,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_tau_ties3,0.3,17,0.5436740586788623,76.47058823529412,0.41621473011499693,2.724220001217181,42.84,-2.823439606845568,
mlp,GLD,C_tau_ties3,0.4,14,0.3625078723219932,71.42857142857143,0.2633557987991927,1.5642536380439571,35.28,-2.823439606845568,
mlp,GLD,C_tau_ties3,0.5,14,0.3625078723219932,71.42857142857143,0.2633557987991927,1.5642536380439571,35.28,-2.823439606845568,
mlp,GLD,C_tau_ties5,0.2,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,GLD,C_tau_ties5,0.3,18,0.20976307274177172,66.66666666666666,0.1669876253001737,1.1246588670676212,45.36,-5.536087342492024,
mlp,GLD,C_tau_ties5,0.4,14,0.5319072638769422,78.57142857142857,0.5219722448918092,3.100356957214973,35.28,-1.4772297747821739,
mlp,GLD,C_tau_ties5,0.5,12,0.6566893045606499,83.33333333333334,0.7254246997919651,3.9891763173447554,30.240000000000002,-1.447901799294371,
mlp,GLD,No Filter,,25,0.37390440712400164,72.0,0.26935838168971304,2.137965874505384,63.0,-4.088185543197653,
mlp,SPY,C_Mallows_full,0.2,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_Mallows_full,0.3,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_Mallows_full,0.4,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_Mallows_full,0.5,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_RBO_full,0.2,43,-0.02482927277151479,58.139534883720934,-0.019190815911934663,-0.2141747710681824,124.55172413793103,-9.58650072515379,
mlp,SPY,C_RBO_full,0.3,38,-0.03159544297409664,57.89473684210527,-0.023664091386278625,-0.24826887495512093,110.06896551724138,-8.499757385139084,
mlp,SPY,C_RBO_full,0.4,31,-0.025289560869683696,58.06451612903226,-0.019519283145780737,-0.18496321045413483,89.79310344827586,-6.774550112304567,
mlp,SPY,C_RBO_full,0.5,24,-0.03694049814642793,54.166666666666664,-0.029270191397618613,-0.24404607497269043,69.51724137931035,-7.5183346122263295,
mlp,SPY,C_tau_full,0.2,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_full,0.3,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_full,0.4,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_full,0.5,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_ties10,0.2,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_ties10,0.3,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_ties10,0.4,31,-0.06887468758171213,54.83870967741935,-0.05303476079873154,-0.5025532725632338,89.79310344827586,-7.801279516500781,
mlp,SPY,C_tau_ties10,0.5,27,-0.09149735270588595,51.85185185185185,-0.06886143086221927,-0.6089737445721771,78.20689655172414,-6.076072243666264,
mlp,SPY,C_tau_ties3,0.2,59,0.15249735681864096,55.932203389830505,0.08367620944431794,1.0938773962324488,170.89655172413794,-9.420566185635604,
mlp,SPY,C_tau_ties3,0.3,40,0.19879987980823133,57.49999999999999,0.09642835150583556,1.0379474877602533,115.86206896551724,-9.58650072515379,
